AVAR;RUSSIAN;ENGLISH
квезе;ПОДДЕРЖАТЬ;
квер чIвазе;ПОДДЕРЖАТЬ;
кумек гьабизе;ПОДДЕРЖАТЬ;
рахъ кквезе;ПОДДЕРЖАТЬ;
цIунизе;ПОДДЕРЖАТЬ;
гьоркьоб къотIизе тунгутIизе;ПОДДЕРЖИВАТЬ;
мугъ чIвалеб бакIлъун букIине;ПОДДЕРЖИВАТЬ;
поддержать;ПОДДЕРЖИВАТЬ;
хIубилъун;ПОДДЕРЖИВАТЬ;
хвезе тунгутIизе;ПОДДЕРЖИВАТЬ;
верчIвай;ПОДДЕРЖКА;
кумек;ПОДДЕРЖКА;
мугъ чIвазе бакI;ПОДДЕРЖКА;
рахъкквей;ПОДДЕРЖКА;
тIадрекъей;ПОДДЕРЖКА;
цIуни;ПОДДЕРЖКА;
туркIун эхеде бачине;ПОДДЁРНУТЬ;
эхедетуркIизе;ПОДДЁРНУТЬ;
гъоркьан ретIине;ПОДДЕТЬ;
гъорлъ къазабун;ПОДДЕТЬ;
кодобе босизе;ПОДДЕТЬ;
хIунсизе;ПОДДЕТЬ;
валъаргъине;ПОДДРАЗНИТЬ;
ццидахинавизе;ПОДДРАЗНИТЬ;
ццин бахъинабизе;ПОДДРАЗНИТЬ;
печалъул гъоркьан гьури базе тараб каратI;ПОДДУВАЛО;
печалъул цIа бакулеб бакIалъул цIалкIу;ПОДДУВАЛО;
асар гьабизе;ПОДЕЙСТВОВАТЬ;
ни не могу;ПОДЕЛАТЬ;
бикьизе;ПОДЕЛИТЬ;
бикьун гIахьал гьабизе;ПОДЕЛИТЬ;
бикьизе;ПОДЕЛИТЬСЯ;
гIахьал гьабизе;ПОДЕЛИТЬСЯ;
гьоркьоб лъезе;ПОДЕЛИТЬСЯ;
данд базе;ПОДЕЛИТЬСЯ;
ургъелбикьизе;ПОДЕЛИТЬСЯ;
гIиси-бикъинаб иш;ПОДЕЛКА;
хIалтIи;ПОДЕЛКА;
рекъонго;ПОДЕЛОМ;
къол хIисабалда мухь кьолеб;ПОДЁННЫЙ;
къойил хIисабалда хIалтIулев чи;ПОДЁНЩИК;
къойил хIисабалда гьабулеб хIалтIи;ПОДЁНЩИНА;
къойил хIисабалда хIалтIулей гIадан;ПОДЁНЩИЦА;
тIеркIезабизе;ПОДЁРГАТЬ;
цIан рахъизе;ПОДЁРГАТЬ;
тIеркIезаби;ПОДЁРГИВАНИЕ;
тIеркIей;ПОДЁРГИВАНИЕ;
дать на;ПОДЕРЖАНИЕ;
басрияб;ПОДЕРЖАННЫЙ;
ретIараб;ПОДЕРЖАННЫЙ;
кодоб кквезе;ПОДЕРЖАТЬ;
дагьаб мехалъ хутIизе;ПОДЕРЖАТЬСЯ;
ккун чIезе;ПОДЕРЖАТЬСЯ;
бацизабизе;ПОДЁРНУТЬ;
тIеренаб хъал лъугьине;ПОДЁРНУТЬСЯ;
кьеризабун бежараб;ПОДЖАРИСТЫЙ;
лъикI бежараб;ПОДЖАРИСТЫЙ;
барсизе;ПОДЖАРИТЬ;
бежизе;ПОДЖАРИТЬ;
гIанкизе;ПОДЖАРИТЬ;
кьеризабизе;ПОДЖАРИТЬ;
бежун бахъине;ПОДЖАРИТЬСЯ;
бежун лъугIизе;ПОДЖАРИТЬСЯ;
азарав;ПОДЖАРЫЙ;
вакъварав;ПОДЖАРЫЙ;
хIалакъав;ПОДЖАРЫЙ;
яравул гьабураб;ПОДЖАРЫЙ;
гъоркъе рачине;ПОДЖАТЬ;
сидеть;ПОДЖАТЬ;
бухIизе биччазе;ПОДЖЕЧЬ;
цIа гъезе;ПОДЖЕЧЬ;
цIа гъун бухIизе;ПОДЖЕЧЬ;
цIа рекIинабизе;ПОДЖЕЧЬ;
чIурхIизе;ПОДЖЕЧЬ;
рагъде гьусулев чи;ПОДЖИГАТЕЛЬ;
рагъул цIабакулев чи;ПОДЖИГАТЕЛЬ;
цIа гъурав чи;ПОДЖИГАТЕЛЬ;
накалзул щукIдул;ПОДЖИЛКИ;
цIа гъей;ПОДЖОГ;
цIа гъун бухIи;ПОДЖОГ;
аслияб гуреб бетIер;ПОДЗАГОЛОВОК;
литературияб яги гIелмияб асаралъулжанисеб;ПОДЗАГОЛОВОК;
гъезе;ПОДЗАДОРИВАТЬ;
гьесизавизе;ПОДЗАДОРИВАТЬ;
гьусизе;ПОДЗАДОРИВАТЬ;
яхI бачIинабизе;ПОДЗАДОРИВАТЬ;
гъванщилъ зар бай;ПОДЗАТЫЛЬНИК;
адвокатас судалда цIунулей гIадан;ПОДЗАЩИТНАЯ;
адвокатас судалда цIунулев чи;ПОДЗАЩИТНЫЙ;
гIодомес;ПОДЗЕМЕЛЬЕ;
ракьулъ бугеб нохъо;ПОДЗЕМЕЛЬЕ;
ракьулъ бугеб рукъ-бакI;ПОДЗЕМЕЛЬЕ;
ракьалда гъоркь;ПОДЗЕМНЫЙ;
ракьул чохьониб бугеб;ПОДЗЕМНЫЙ;
ракьулъ бугеб;ПОДЗЕМНЫЙ;
беэнлъи гьечIеб;ПОДЗОЛИСТЫЙ;
рахъуракь гъорлъ бугеб;ПОДЗОЛИСТЫЙ;
хал гьабиялъе бугеб;ПОДЗОРНЫЙ;
хъаравуласулаб;ПОДЗОРНЫЙ;
хъаравуллъи кквеялъе;ПОДЗОРНЫЙ;
гIажаиблъизе;ПОДИВИТЬСЯ;
тамашалъизе;ПОДИВИТЬСЯ;
хIиалъизе;ПОДИВИТЬСЯ;
гъаргъар щвезабизе;ПОДИРАТЬ;
квачалъ;ПОДИРАТЬ;
сородизавизе;ПОДИРАТЬ;
хIинкъиялъ лъикIаб гьечIебасар гьабизе;ПОДИРАТЬ;
гъоркьчIел гьабизе;ПОДКАРАУЛИТЬ;
хъаравуллъи ккун чIезе;ПОДКАРАУЛИТЬ;
чан къан чIезе;ПОДКАРАУЛИТЬ;
аскIобе щвезе;ПОДКАТИТЬ;
гиризабизе;ПОДКАТИТЬ;
гиризабун бачине;ПОДКАТИТЬ;
гиризабун щвезабизе;ПОДКАТИТЬ;
хехго бачIине;ПОДКАТИТЬ;
гирун бачIун гIагарлъизе;ПОДКАТИТЬСЯ;
божилъи хвезабизе;ПОДКАЧАТЬ;
божударекIкI гьабизе;ПОДКАЧАТЬ;
гуккизе;ПОДКАЧАТЬ;
гьабунгутIизе;ПОДКАЧАТЬ;
дагьабги понцIозе;ПОДКАЧАТЬ;
кьабизе;ПОДКАЧАТЬ;
къватIулъажо;ПОДКИДЫШ;
чияе рехараб лъимер;ПОДКИДЫШ;
эбел-эмен лъалареб лъимер;ПОДКИДЫШ;
гъоркьлъел;ПОДКЛАДКА;
гъоркьан седезе;ПОДКЛЕИТЬ;
рекIинабизе;ПОДКЛЕИТЬ;
седезе;ПОДКЛЕИТЬ;
биччазе;ПОДКЛЮЧИТЬ;
цолъизабизе;ПОДКЛЮЧИТЬ;
жубазе;ПОДКЛЮЧИТЬСЯ;
рекIине;ПОДКЛЮЧИТЬСЯ;
хурхине;ПОДКЛЮЧИТЬСЯ;
цолъизе;ПОДКЛЮЧИТЬСЯ;
тIикъва;ПОДКОВА;
кинаб букIаниги гIелму гIатIидго малъизе;ПОДКОВАТЬ;
тIикъва чIвазе;ПОДКОВАТЬ;
тIикъва-магI;ПОДКОВАТЬ;
цебеккунго хIадур гьавизе;ПОДКОВАТЬ;
чвазе;ПОДКОВАТЬ;
тIикъва гIадаб;ПОДКОВООБРАЗНЫЙ;
тIикъваялда релълъараб;ПОДКОВООБРАЗНЫЙ;
тIукъби чIвалев вукIине;ПОДКОВЫВАТЬ;
тIомода гъоркь бугеб;ПОДКОЖНЫЙ;
тIомолъ бугеб;ПОДКОЖНЫЙ;
змея;ПОДКОЛОДНЫЙ;
рекIинабизе;ПОДКОЛОТЬ;
рукIкIен чIван тIадехун щулагьабизе;ПОДКОЛОТЬ;
хъвалхьине;ПОДКОЛОТЬ;
контролалда бугеб;ПОДКОНТРОЛЬНЫЙ;
тIадконтроль бугеб;ПОДКОНТРОЛЬНЫЙ;
балъго ургъараб квешлъи;ПОДКОП;
гъоркьан бухъи;ПОДКОП;
ракьулъан бухъун гьабураб нух;ПОДКОП;
хоб бухъи;ПОДКОП;
гъоркьа бухъизе;ПОДКОПАТЬ;
багьнал гьаризе;ПОДКОПАТЬСЯ;
гIайибал гIунтIизаризе;ПОДКОПАТЬСЯ;
под перен балъго гIунгутIаби ралагьизе;ПОДКОПАТЬСЯ;
подо ракьги бухъун сунданиги гъоркье раккизе;ПОДКОПАТЬСЯ;
боцIуе тIадеги кьолеб рагIихер;ПОДКОРМ;
кIалцIи;ПОДКОРМ;
кьара гьаби;ПОДКОРМ;
лъикI хьихьи;ПОДКОРМ;
лъикI кваназавун сахлъизавизе;ПОДКОРМИТЬ;
рак щвазе;ПОДКОРМИТЬ;
рекьарал жалазде беэнлъи;ПОДКОРМИТЬ;
беэнлъи щвай;ПОДКОРМКА;
ракь беэн гьаби;ПОДКОРМКА;
рекьарал жалазде рак;ПОДКОРМКА;
гIодоб цузабун бецизе;ПОДКОСИТЬ;
дагьа-макъаб белъине;ПОДКРАСИТЬ;
кьер хисизабизе;ПОДКРАСИТЬ;
цIидасан белъине;ПОДКРАСИТЬ;
дагьабго жо жиндирго гьурмада бахине;ПОДКРАСИТЬСЯ;
гьаругьин гIагарлъизе;ПОДКРАСТЬСЯ;
лъачIого нахъасан вачIине;ПОДКРАСТЬСЯ;
къуват кьезе;ПОДКРЕПИТЬ;
щула гьабизе;ПОДКРЕПИТЬ;
щула гьабизе;ПОДКРЕПИТЬ;
дагьа-макъаб жо кваназе;ПОДКРЕПИТЬСЯ;
рухI бачIинабизе;ПОДКРЕПИТЬСЯ;
щулалъизе;ПОДКРЕПИТЬСЯ;
рагъулалишазе;ПОДКРЕПЛЕНИЕ;
ралел бакIазде кумекалъе битIулеб къокъа;ПОДКРЕПЛЕНИЕ;
рухI бачIин;ПОДКРЕПЛЕНИЕ;
щула гьаби;ПОДКРЕПЛЕНИЕ;
щулалъи;ПОДКРЕПЛЕНИЕ;
щула гьабун кьуризе;ПОДКРУТИТЬ;
гъоркьан вичун воси;ПОДКУП;
ришват кьун жиндиргорахъалде цIай;ПОДКУП;
вичун восизе;ПОДКУПИТЬ;
вокьизавизе;ПОДКУПИТЬ;
хIайран гьавизе;ПОДКУПИТЬ;
данде ккезабизе;ПОДЛАДИТЬ;
рекъезабизе;ПОДЛАДИТЬ;
гIамал-хасият рекъезе;ПОДЛАДИТЬСЯ;
гьаракь-бакъанрекъон ккезе;ПОДЛАДИТЬСЯ;
данде ккезе;ПОДЛАДИТЬСЯ;
аскIоб;ПОДЛЕ;
гIагарда;ПОДЛЕ;
цIорода гъоркь бугеб;ПОДЛЁДНЫЙ;
цIорода гъоркь гIумру гьабулеб;ПОДЛЁДНЫЙ;
ккезе;ПОДЛЕЖАТЬ;
гъоркье хъурщизе;ПОДЛЕЗТЬ;
хъурщун гъоркье лъугьине;ПОДЛЕЗТЬ;
боржун аскIобе гIагарлъизе;ПОДЛЕТЕТЬ;
сунданиги гъоркье щвезегIан боржине;ПОДЛЕТЕТЬ;
эхеде кIанцIизе;ПОДЛЕТЕТЬ;
къадарав чи;ПОДЛЕЦ;
угъраш;ПОДЛЕЦ;
хIалихьат;ПОДЛЕЦ;
хIарамзада;ПОДЛЕЦ;
дагьа-макъаб дару гьабизе;ПОДЛЕЧИТЬ;
дару гьабун сахлъи рукIалиде ккезабизе;ПОДЛЕЧИТЬ;
жиндиего дагьа-макъаб даругьабизе;ПОДЛЕЧИТЬСЯ;
подливка;ПОДЛИВКА;
бадиберецц-бакъ гьабулев чи;ПОДЛИЗА;
суркIачIикI;ПОДЛИЗА;
хIелхIедулев чи;ПОДЛИЗА;
лъугIизегIан чIикIизе;ПОДЛИЗАТЬ;
чIикIун лъугIизабизе;ПОДЛИЗАТЬ;
бадибе рецц-бакъ гьабизе;ПОДЛИЗЫВАТЬСЯ;
лъурлъудизе;ПОДЛИЗЫВАТЬСЯ;
хIелхIедизе;ПОДЛИЗЫВАТЬСЯ;
документ;ПОДЛИННИК;
оригинал;ПОДЛИННИК;
подлинник;ПОДЛИННИК;
унго-унголъи;ПОДЛИННОСТЬ;
хIакъаб букIин;ПОДЛИННОСТЬ;
аслияб;ПОДЛИННЫЙ;
унго-унгояб;ПОДЛИННЫЙ;
хIакъикъияб;ПОДЛИННЫЙ;
сунданиги гъорлъе тIезе;ПОДЛИТЬ;
тIадетIун жубазабизе;ПОДЛИТЬ;
нахъегIанлъизе;ПОДЛИЧАТЬ;
хIалихьалъизе;ПОДЛИЧАТЬ;
хIарам;ПОДЛОГ;
балъго лъезе;ПОДЛОЖИТЬ;
гъоркь лъезе;ПОДЛОЖИТЬ;
дагьабги лъезе;ПОДЛОЖИТЬ;
гьересияб;ПОДЛОЖНЫЙ;
гъоркьа бекизе;ПОДЛОМИТЬ;
гъоркьан цодагьаб бекизе;ПОДЛОМИТЬ;
къуркьизавизе;ПОДЛОМИТЬ;
бек-бекун ине;ПОДЛОМИТЬСЯ;
къабихIлъи;ПОДЛОСТЬ;
нахъегIанлъи;ПОДЛОСТЬ;
хIалихьалъи;ПОДЛОСТЬ;
къабихIаб;ПОДЛЫЙ;
нахъегIанаб;ПОДЛЫЙ;
хIалихьатаб;ПОДЛЫЙ;
жужазе;ПОДМАЗАТЬ;
кьватIалаби инаризе;ПОДМАЗАТЬ;
нах бахине;ПОДМАЗАТЬ;
ришват кьезе;ПОДМАЗАТЬ;
гьумер белъине;ПОДМАЗАТЬСЯ;
гьурмада оба бахине;ПОДМАЗАТЬСЯ;
к лъиениги хIелхIедун;ПОДМАЗАТЬСЯ;
рецц гьабун живго вокьизавизе;ПОДМАЗАТЬСЯ;
тIад дагьаб жо бахине;ПОДМАЗАТЬСЯ;
мандаталда гъоркь бугеб;ПОДМАНДАТНЫЙ;
ишан гьабун аскIобебачIинабизе;ПОДМАНИТЬ;
нах бахине;ПОДМАСЛИТЬ;
сундулъниги дагьабги нах лъезе;ПОДМАСЛИТЬ;
устарасул кумекчи;ПОДМАСТЕРЬЕ;
хадучи;ПОДМАСТЕРЬЕ;
хехго гъолбас гьабизе;ПОДМАХНУТЬ;
хъинтIизе;ПОДМАХНУТЬ;
подмена гьересияб яги лъачIого ккараб хиси;ПОДМЕН;
дагьа-макъаб цIорозе;ПОДМЁРЗНУТЬ;
хамуралда гъорлъе ханжужубазе;ПОДМЕСИТЬ;
лъухьизе;ПОДМЕСТИ;
тIатинабизе;ПОДМЕТИТЬ;
хал ккун хIисабалде босизе;ПОДМЕТИТЬ;
халгьабун лъазе;ПОДМЕТИТЬ;
тIикъва;ПОДМЁТКА;
багъарулаго;ПОДМЕШАТЬ;
жубазабулаготIаде щвазе;ПОДМЕШАТЬ;
ишан гьабун къинкIизе;ПОДМИГНУТЬ;
квербакъи;ПОДМОГА;
кумек;ПОДМОГА;
гъоркьан дагьа-макъаб биччизе;ПОДМОКНУТЬ;
сеноподмокло хер гъоркьан биччун буго;ПОДМОКНУТЬ;
дагьа-макъаб цIорозабизе;ПОДМОРОЗИТЬ;
квачалъ хвезабизе;ПОДМОРОЗИТЬ;
сегодня подморозило жакъа цодагьаб квач кIанцIана;ПОДМОРОЗИТЬ;
цIорозе тезе;ПОДМОРОЗИТЬ;
цIорой кIанцIизе;ПОДМОРОЗИТЬ;
борхизабун хъарщи кьабун гьабураб бакI;ПОДМОСТКИ;
сцена;ПОДМОСТКИ;
къимат хвараб;ПОДМОЧЕННЫЙ;
тIанкI лъураб;ПОДМОЧЕННЫЙ;
гъоркьан биччизе тезе;ПОДМОЧИТЬ;
дагьа-макъаб биччизабизе;ПОДМОЧИТЬ;
гIедегIалихъе чуризе;ПОДМЫТЬ;
гъоркьан чуризе;ПОДМЫТЬ;
чуризе;ПОДМЫТЬ;
чучазабизе;ПОДМЫТЬ;
взять под мышкикъвалакье босизе;ПОДМЫШКИ;
къвалакьбакIал;ПОДМЫШКИ;
нес-ти под мышкой къвалакь ккун босизе;ПОДМЫШКИ;
гура-шурун гъоркь лъезе;ПОДМЯТЬ;
гъоркьзобал;ПОДНЕБЕСЬЕ;
хIалица гьабизабулеб;ПОДНЕВОЛЬНЫЙ;
чияда варав;ПОДНЕВОЛЬНЫЙ;
чияр кверщаликь вугев;ПОДНЕВОЛЬНЫЙ;
аскIобегIанкквезе;ПОДНЕСТИ;
комукьезе;ПОДНЕСТИ;
сайигъат гьабизе;ПОДНЕСТИ;
что щвезабизе;ПОДНЕСТИ;
цIигьабизе;ПОДНОВИТЬ;
цIилъизабизе;ПОДНОВИТЬ;
узнать всю;ПОДНОГОТНАЯ;
ахалъи;ПОДНОЖИЕ;
ракьанлъи;ПОДНОЖИЕ;
бох кьаби;ПОДНОЖКА;
вагоназул;ПОДНОЖКА;
машинабазулдалараб хIетIечIел;ПОДНОЖКА;
цебебох кквей;ПОДНОЖКА;
пандуз;ПОДНОС;
тIибитIараб гъадаро;ПОДНОС;
тепси;ПОДНОС;
адабхIурмат гьабун кьураб жо;ПОДНОШЕНИЕ;
сайигъат;ПОДНОШЕНИЕ;
сайигъат гьаби;ПОДНОШЕНИЕ;
хIурмат гьабун;ПОДНОШЕНИЕ;
щибниги жо кьей;ПОДНОШЕНИЕ;
борхи;ПОДНЯТИЕ;
борхи;ПОДНЯТИЕ;
борхизаби;ПОДНЯТИЕ;
кодобе боси;ПОДНЯТИЕ;
тIаде ин;ПОДНЯТИЕ;
эхеде бахъин;ПОДНЯТИЕ;
эхеде боси;ПОДНЯТИЕ;
эхеде ин;ПОДНЯТИЕ;
бахъинабизе;ПОДНЯТЬ;
бахъун чIезабизе;ПОДНЯТЬ;
борхизе;ПОДНЯТЬ;
одобе босизе;ПОДНЯТЬ;
тIаде бахъизе;ПОДНЯТЬ;
эхеде бахъизе;ПОДНЯТЬ;
эхеде босизе;ПОДНЯТЬ;
бахине;ПОДНЯТЬСЯ;
бахъине;ПОДНЯТЬСЯ;
предлог под гъоркь;ПОДО;
мустахIикъаб букIине;ПОДОБАТЬ;
рекъезе;ПОДОБАТЬ;
гIадинаб;ПОДОБНЫЙ;
релълъараб;ПОДОБНЫЙ;
лемхIарабмутIигIлъиялъул;ПОДОБОСТРАСТНЫЙ;
хIелхIедулев;ПОДОБОСТРАСТНЫЙ;
бакIа-бахаризе;ПОДОБРАТЬ;
бакIаризе;ПОДОБРАТЬ;
бищизе;ПОДОБРАТЬ;
данде къазе;ПОДОБРАТЬ;
къваригIунеб тIаса бищизе;ПОДОБРАТЬ;
чIоло-квара къазе;ПОДОБРАТЬ;
гIезе;ПОДОБРАТЬСЯ;
данделъизе;ПОДОБРАТЬСЯ;
к лъачIого аскIобегIан къазе;ПОДОБРАТЬСЯ;
лъугьине;ПОДОБРАТЬСЯ;
лъикIав лъугьине;ПОДОБРЕТЬ;
хIалимав лъугьине;ПОДОБРЕТЬ;
хIалимлъизе;ПОДОБРЕТЬ;
чIаго-гIатIго;ПОДОБРУ-ПОЗДОРОВУ;
щибгоккелалде;ПОДОБРУ-ПОЗДОРОВУ;
аскIобегIан бачине;ПОДОГНАТЬ;
гIедегIизабизе;ПОДОГНАТЬ;
заман данде ккезабизе;ПОДОГНАТЬ;
рекъезабизе;ПОДОГНАТЬ;
роцада данде ккезабизе;ПОДОГНАТЬ;
хехлъизабизе;ПОДОГНАТЬ;
сукIун тIадехун чIвазабизе;ПОДОГНУТЬ;
сукIун ине;ПОДОГНУТЬСЯ;
тIаде чIван ине;ПОДОГНУТЬСЯ;
багъабачаризабизе;ПОДОГРЕТЬ;
бахьизабизе;ПОДОГРЕТЬ;
бухIизабизе;ПОДОГРЕТЬ;
хинлъизабизе;ПОДОГРЕТЬ;
чIинкьа-кIитIизабизе;ПОДОГРЕТЬ;
бахьизе;ПОДОГРЕТЬСЯ;
бухIизе;ПОДОГРЕТЬСЯ;
хинлъизе;ПОДОГРЕТЬСЯ;
аскIобегIан къазабизе;ПОДОДВИНУТЬ;
аскIобегIан цIазе;ПОДОДВИНУТЬ;
аскIовегIан къазе;ПОДОДВИНУТЬСЯ;
юргъаналъул лъел;ПОДОДЕЯЛЬНИК;
дагьаб заманалъ чIезе;ПОДОЖДАТЬ;
нахъбахъун тезе;ПОДОЖДАТЬ;
ралагьунчIезе;ПОДОЖДАТЬ;
аскIовегIан ахIизе;ПОДОЗВАТЬ;
ишан гьабун яги кIалъан аскIовегIанахIизе;ПОДОЗВАТЬ;
сунда бугониги щаклъизе;ПОДОЗРЕВАТЬ;
чём лъида бугониги;ПОДОЗРЕВАТЬ;
божунгутIи;ПОДОЗРИТЕЛЬНОСТЬ;
щакдари;ПОДОЗРИТЕЛЬНОСТЬ;
щакдарулеб;ПОДОЗРИТЕЛЬНЫЙ;
гIака бечIчIулеб гIорто;ПОДОЙНИК;
гIака бечIчIулеб жо;ПОДОЙНИК;
аскIовегIан вачIине;ПОДОЙТИ;
байбихьизе;ПОДОЙТИ;
бачIана;ПОДОЙТИ;
бегьизе;ПОДОЙТИ;
гIагардегIан къазе;ПОДОЙТИ;
гIагарлъизе;ПОДОЙТИ;
дандеккезе;ПОДОЙТИ;
подошёл поезд поезд тIаде гIунтIана;ПОДОЙТИ;
подошли каникулы каникулал тIаде щвана;ПОДОЙТИ;
тIаде щвезе;ПОДОЙТИ;
тесто подошло хамур боргьун буго;ПОДОЙТИ;
ярагьине;ПОДОЙТИ;
бечIчIизе;ПОДОИТЬ;
гурдил;ПОДОЛ;
квенчIел;ПОДОЛ;
пальтоялъул ахалъи;ПОДОЛ;
гIемераб мехалъ;ПОДОЛГУ;
аххада хутIараб лъамалъи;ПОДОНКИ;
аххакь;ПОДОНКИ;
гIадада хварал;ПОДОНКИ;
гIаданлъи лъугIарал чагIи;ПОДОНКИ;
нахъегIанал;ПОДОНКИ;
къайимлъиялда вугев чи;ПОДОПЕЧНЫЙ;
лъил бугониги тIалаб-агъазалдавугев чи;ПОДОПЕЧНЫЙ;
бахчараб гIилла;ПОДОПЛЁКА;
хIакъикъияб;ПОДОПЛЁКА;
дагьаб цIаккине;ПОДОПРЕТЬ;
ккалазе;ПОДОПРЕТЬ;
жинда тIад хIалбихьи гьабулеб;ПОДОПЫТНЫЙ;
жагъал гьабизе;ПОДОРВАТЬ;
кьвагьизабизе;ПОДОРВАТЬ;
хвезабизе;ПОДОРВАТЬ;
жагъаллъизе;ПОДОРВАТЬСЯ;
кьвагьизе;ПОДОРВАТЬСЯ;
кьва-гьиялъ биххизе;ПОДОРВАТЬСЯ;
хвезе;ПОДОРВАТЬСЯ;
багьа эхеде бахине;ПОДОРОЖАТЬ;
хиралъизе;ПОДОРОЖАТЬ;
гъаличу;ПОДОРОЖНИК;
багIараб гIурдахIан;ПОДОСИНОВИК;
бетIер багIараб гIурдахIан;ПОДОСИНОВИК;
балъгояб мурадгун витIизе;ПОДОСЛАТЬ;
кколеб заманалда тIадещвезе;ПОДОСПЕТЬ;
гъоркь тIамизе;ПОДОСТЛАТЬ;
кибниги къазабизе;ПОДОТКНУТЬ;
рачлихъ бахъизе;ПОДОТКНУТЬ;
лъиданиги цебе хIисаб кьезе кколев;ПОДОТЧЁТНЫЙ;
хадуб хIисаб кьезе кколеб;ПОДОТЧЁТНЫЙ;
капурго хвезе;ПОДОХНУТЬ;
хвезе;ПОДОХНУТЬ;
бачIиналъухъ;ПОДОХОДНЫЙ;
хайиралъухъ балагьун лъолеб;ПОДОХОДНЫЙ;
аххалъи;ПОДОШВА;
гъоркьахIетIе;ПОДОШВА;
гъоркьияб рахъ;ПОДОШВА;
кьучI;ПОДОШВА;
тIикъва;ПОДОШВА;
тIину;ПОДОШВА;
туфли на кожаной;ПОДОШВА;
бухIизе;ПОДПАЛИТЬ;
цIа гъезе;ПОДПАЛИТЬ;
чIурхIизе;ПОДПАЛИТЬ;
вехьасул кумекчи;ПОДПАСОК;
гьитIинав вехь;ПОДПАСОК;
бакI-бакI регъезе;ПОДПАЯТЬ;
гъоркьан регъезе;ПОДПАЯТЬ;
гъоркьапалугьан;ПОДПЕВАЛА;
лъилниги рахъ ккун гьес абураб такрар гьабулев чи;ПОДПЕВАЛА;
тIад рекъезабун ахIулев;ПОДПЕВАЛА;
чияр зурмихъе кьурдулев чи;ПОДПЕВАЛА;
тIад рекъезабун ахIизе;ПОДПЕВАТЬ;
хIелун тIад рекъезе;ПОДПЕВАТЬ;
гъоркь щибниги чIван чIезабизе;ПОДПЕРЕТЬ;
квер чIвазе;ПОДПЕРЕТЬ;
лъиениги кумекгьабизе;ПОДПЕРЕТЬ;
сунде бугониги баччизе;ПОДПЕРЕТЬСЯ;
 чIвазе;ПОДПЕРЕТЬСЯ;
ахадасанго къотIизе;ПОДПИЛИТЬ;
къокъ гьабизе;ПОДПИЛИТЬ;
тIаса къотIизе;ПОДПИЛИТЬ;
чаран тIамун къо-тIизе;ПОДПИЛИТЬ;
гъолбас гьаби;ПОДПИСАНИЕ;
гъолбас гьабизе;ПОДПИСАТЬ;
жубазе;ПОДПИСАТЬ;
на щивниги цо сундуениги хъвазе;ПОДПИСАТЬ;
тIадеги хъвазе;ПОДПИСАТЬ;
гъолбас лъезе;ПОДПИСАТЬСЯ;
на чтохъвазе;ПОДПИСАТЬСЯ;
подписка;ПОДПИСКА;
подписка;ПОДПИСКА;
подписка гьаби;ПОДПИСКА;
хъвай;ПОДПИСКА;
хъван бачIунеб;ПОДПИСНОЙ;
гъолбас;ПОДПИСЬ;
гъолбас гьаби;ПОДПИСЬ;
кагътида;ПОДПИСЬ;
сураталда гьабураб хъвай-хъвагIай;ПОДПИСЬ;
тIехьалда;ПОДПИСЬ;
щибнигигъоркь хъвай;ПОДПИСЬ;
гъоркье лъедезе;ПОДПЛЫТЬ;
лъедон аскIовегIан ине;ПОДПЛЫТЬ;
мехтизегIан гьекъезавизе;ПОДПОИТЬ;
подо гъоркье хъурщизе;ПОДПОЛЗТИ;
чему сундухъехунниги хъурщизе;ПОДПОЛЗТИ;
подвал;ПОДПОЛЬЕ;
балъгояб куцалъ гъоркьан хIалтIулеб;ПОДПОЛЬНЫЙ;
балъго гъоркьан хIалтIи гьабулев чи;ПОДПОЛЬЩИК;
балъго гъоркьан хIалтIи гьабулей гIадан;ПОДПОЛЬЩИЦА;
гъоркьчIвай;ПОДПОРАПОДПОРКА;
кумекалъе чIвалеб хIуби;ПОДПОРАПОДПОРКА;
гъоркьан чIалхине;ПОДПОРОТЬ;
дагьаб чIалхине;ПОДПОРОТЬ;
ракьул тIасияб гъаталда гъоркьияб гъат;ПОДПОЧВА;
ракьул гъаталда гъоркь бугеб;ПОДПОЧВЕННЫЙ;
рачел борчине;ПОДПОЯСАТЬ;
рачел бухьине;ПОДПОЯСАТЬ;
рачел къазе;ПОДПОЯСАТЬ;
борчине;ПОДПОЯСАТЬСЯ;
рачел къазе;ПОДПОЯСАТЬСЯ;
битIа-бишизабизе;ПОДПРАВИТЬ;
дагьаб къачIакIатIазе;ПОДПРАВИТЬ;
гъоркьан къвал;ПОДПРУГА;
эхеде кIанцIизе;ПОДПРЫГНУТЬ;
аскIобе бачIине;ПОДПУСТИТЬ;
гъорлъебиччазе;ПОДПУСТИТЬ;
жубазе;ПОДПУСТИТЬ;
къазе биччазе;ПОДПУСТИТЬ;
тIад хIалтIи гьабизе;ПОДРАБОТАТЬ;
тIадеги хIалтIи гьабун гIарац балагьизе;ПОДРАБОТАТЬ;
тIадхIалтIи гьабун лъугIизабизе;ПОДРАБОТАТЬ;
цебеккунгохIадур гьабизе;ПОДРАБОТАТЬ;
тIеркIезе;ПОДРАГИВАТЬ;
тIуркIизе;ПОДРАГИВАТЬ;
цогидаз гьабураб гьабизе лъугьин;ПОДРАЖАНИЕ;
